"filename", "language", "XML", "C#", "JSON", "Properties", "comment", "blank", "total"
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\ChatServer.Common.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 1, 1, 9
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\Common.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\Common.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\Common.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 1, 1, 9
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\Protobuf_Common.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\Protobuf_Common.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net6.0\Protobuf_Common.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 1, 1, 9
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 0, 3, 0, 0, 1, 1, 5
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net8.0\ChatServer.Common.AssemblyInfo.cs", "C#", 0, 9, 0, 0, 10, 5, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net8.0\ChatServer.Common.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Debug\net8.0\ChatServer.Common.GlobalUsings.g.cs", "C#", 0, 7, 0, 0, 1, 1, 9
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Protobuf_Common.csproj.nuget.dgspec.json", "JSON", 0, 0, 93, 0, 0, 0, 93
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Protobuf_Common.csproj.nuget.g.props", "XML", 16, 0, 0, 0, 0, 0, 16
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\Protobuf_Common.csproj.nuget.g.targets", "XML", 2, 0, 0, 0, 0, 0, 2
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\project.assets.json", "JSON", 0, 0, 552, 0, 0, 0, 552
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Common\obj\project.packagespec.json", "JSON", 0, 0, 1, 0, 0, 0, 1
