"filename", "language", "C#", "JSON", "XML", "Properties", "comment", "blank", "total"
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250126040237_sacurityQuestion.Designer.cs", "C#", 152, 0, 0, 0, 2, 49, 203
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250126040237_sacurityQuestion.cs", "C#", 64, 0, 0, 0, 3, 9, 76
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250126044330_FriendRelation.Designer.cs", "C#", 185, 0, 0, 0, 2, 60, 247
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250126044330_FriendRelation.cs", "C#", 50, 0, 0, 0, 3, 5, 58
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250126073001_FriendRequest.Designer.cs", "C#", 185, 0, 0, 0, 2, 60, 247
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250126073001_FriendRequest.cs", "C#", 14, 0, 0, 0, 3, 6, 23
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250126073248_FriendRequest_1.Designer.cs", "C#", 228, 0, 0, 0, 2, 76, 306
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250126073248_FriendRequest_1.cs", "C#", 59, 0, 0, 0, 3, 6, 68
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250126150837_chatPrivate_1.Designer.cs", "C#", 228, 0, 0, 0, 2, 76, 306
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250126150837_chatPrivate_1.cs", "C#", 50, 0, 0, 0, 3, 10, 63
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250127064706_FriendRequest_2.Designer.cs", "C#", 230, 0, 0, 0, 2, 77, 309
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\20250127064706_FriendRequest_2.cs", "C#", 23, 0, 0, 0, 3, 4, 30
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\Migrations\ChatServerDbContextModelSnapshot.cs", "C#", 228, 0, 0, 0, 1, 77, 306
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\bin\Debug\net6.0\ChatServer.DataBase.deps.json", "JSON", 0, 582, 0, 0, 0, 0, 582
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\bin\Debug\net8.0\ChatServer.DataBase.deps.json", "JSON", 0, 1118, 0, 0, 0, 0, 1118
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\bin\Debug\net8.0\ChatServer.DataBase.runtimeconfig.json", "JSON", 0, 13, 0, 0, 0, 0, 13
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\ChatServer.DataBase.csproj.nuget.dgspec.json", "JSON", 0, 178, 0, 0, 0, 0, 178
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\ChatServer.DataBase.csproj.nuget.g.props", "XML", 0, 0, 24, 0, 0, 0, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\ChatServer.DataBase.csproj.nuget.g.targets", "XML", 0, 0, 8, 0, 0, 0, 8
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\Debug\net6.0\.NETCoreApp,Version=v6.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\Debug\net6.0\ChatServer.DataBase.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\Debug\net6.0\ChatServer.DataBase.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\Debug\net6.0\ChatServer.DataBase.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\Debug\net8.0\.NETCoreApp,Version=v8.0.AssemblyAttributes.cs", "C#", 3, 0, 0, 0, 1, 1, 5
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\Debug\net8.0\ChatServer.DataBase.AssemblyInfo.cs", "C#", 9, 0, 0, 0, 10, 5, 24
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\Debug\net8.0\ChatServer.DataBase.GeneratedMSBuildEditorConfig.editorconfig", "Properties", 0, 0, 0, 13, 0, 1, 14
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\Debug\net8.0\ChatServer.DataBase.GlobalUsings.g.cs", "C#", 7, 0, 0, 0, 1, 1, 9
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\project.assets.json", "JSON", 0, 2915, 0, 0, 0, 0, 2915
"d:\LanguageLearnig\C#\ChatServer\ChatServer.DataBase\obj\project.packagespec.json", "JSON", 0, 1, 0, 0, 0, 0, 1
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\App.cs", "C#", 71, 0, 0, 0, 5, 15, 91
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\ChatServer.Main.csproj", "XML", 0, 0, 29, 0, 0, 6, 35
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\IOServer\Manager\ClientChannelManager.cs", "C#", 98, 0, 0, 0, 22, 20, 140
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\IOServer\ServerHandler\ClientConnectHandler.cs", "C#", 84, 0, 0, 0, 7, 16, 107
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\IOServer\ServerHandler\EchoServerHandler.cs", "C#", 33, 0, 0, 0, 13, 8, 54
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\BusinessServer.cs", "C#", 134, 0, 0, 0, 47, 27, 208
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\IProcessor.cs", "C#", 14, 0, 0, 0, 0, 2, 16
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Processor\FriendRequestProcessor.cs", "C#", 46, 0, 0, 0, 12, 10, 68
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Processor\FriendResponseProcessor.cs", "C#", 83, 0, 0, 0, 6, 12, 101
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Processor\GetUserRequestProcessor.cs", "C#", 44, 0, 0, 0, 1, 4, 49
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Processor\LoginRequestProcessor.cs", "C#", 42, 0, 0, 0, 3, 7, 52
"d:\LanguageLearnig\C#\ChatServer\ChatServer.Main\MessageOperate\Processor\LogoutRequestProcessor.cs", "C#", 21, 0, 0, 0, 0, 5, 26
